City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,62.19,overcast clouds,-33.5906,26.891,The Halyards Hotel
1,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
2,Sibolga,ID,78.49,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
3,Atuona,PF,78.85,few clouds,-9.8,-139.0333,Villa Enata
4,Rikitea,PF,78.1,light rain,-23.1203,-134.9692,People ThankYou
5,Colares,PT,77.99,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
6,Kirakira,SB,79.25,broken clouds,-10.4544,161.9205,SanBiz Lodge
7,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,Albatross Hotel
8,Olafsvik,IS,44.13,light rain,64.8945,-23.7142,Hotel Olafsvik
9,Kapaa,US,73.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Hilo,US,74.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Cherskiy,RU,14.47,overcast clouds,68.75,161.3,Gostinitsa
12,Hobart,AU,53.28,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
13,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
14,Bluff,NZ,41.81,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
15,Busselton,AU,59.9,broken clouds,-33.65,115.3333,Observatory Guest House
16,New Norfolk,AU,52.92,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
17,Ixtapa,MX,76.23,broken clouds,20.7,-105.2,hotel la terminal
18,East London,ZA,61.74,few clouds,-33.0153,27.9116,Tu Casa
19,Sitka,US,37.29,scattered clouds,57.0531,-135.33,Westmark Sitka
20,Hithadhoo,MV,83.48,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Mataura,NZ,41.49,broken clouds,-46.1927,168.8643,Ellie's Villa
23,Castro,BR,67.01,clear sky,-24.7911,-50.0119,CHACARA BAILLY
