,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,62.19,80,100,1.01,overcast clouds
1,Bambous Virieux,MU,-20.3428,57.7575,79.05,73,40,12.66,scattered clouds
2,Sibolga,ID,1.7427,98.7792,78.49,86,84,3.18,heavy intensity rain
3,Atuona,PF,-9.8,-139.0333,78.85,81,20,18.1,few clouds
4,Rikitea,PF,-23.1203,-134.9692,78.1,72,47,16.6,light rain
5,Colares,PT,38.7992,-9.4469,77.99,50,0,10.36,clear sky
6,Kirakira,SB,-10.4544,161.9205,79.25,84,77,5.19,broken clouds
7,Ushuaia,AR,-54.8,-68.3,42.46,65,75,18.41,broken clouds
8,Olafsvik,IS,64.8945,-23.7142,44.13,97,100,12.48,light rain
9,Kapaa,US,22.0752,-159.319,73.72,87,75,14.97,broken clouds
10,Hilo,US,19.7297,-155.09,74.28,96,75,3.44,light rain
11,Cherskiy,RU,68.75,161.3,14.47,97,100,8.43,overcast clouds
12,Hobart,AU,-42.8794,147.3294,53.28,90,87,6.91,overcast clouds
13,Mount Isa,AU,-20.7333,139.5,78.57,27,40,5.75,light rain
14,Bluff,NZ,-46.6,168.3333,41.81,65,80,3.51,broken clouds
15,Busselton,AU,-33.65,115.3333,59.9,75,75,11.7,broken clouds
16,New Norfolk,AU,-42.7826,147.0587,52.92,75,92,2.91,overcast clouds
17,Ixtapa,MX,20.7,-105.2,76.23,61,75,0.0,broken clouds
18,East London,ZA,-33.0153,27.9116,61.74,88,20,2.3,few clouds
19,Sitka,US,57.0531,-135.33,37.29,75,40,3.44,scattered clouds
20,Hithadhoo,MV,-0.6,73.0833,83.48,64,99,3.09,overcast clouds
21,Barrow,US,71.2906,-156.7887,-2.18,78,0,19.57,clear sky
22,Mataura,NZ,-46.1927,168.8643,41.49,97,81,2.01,broken clouds
23,Castro,BR,-24.7911,-50.0119,67.01,48,2,2.57,clear sky
24,Bredasdorp,ZA,-34.5322,20.0403,60.4,66,43,15.12,scattered clouds
25,Vaini,TO,-21.2,-175.2,77.16,88,40,5.75,scattered clouds
26,Yellowknife,CA,62.456,-114.3525,3.72,60,40,6.91,scattered clouds
27,Ironton,US,38.5368,-82.6829,68.85,66,100,6.91,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,3.44,scattered clouds
29,San Patricio,US,28.017,-97.5169,81.18,76,100,13.35,overcast clouds
30,Puerto Ayora,EC,-0.7393,-90.3518,78.76,78,68,7.78,broken clouds
